country,group,subgroup,age,score,count,id
United Kingdom of Great Britain and Northern Ireland,education,graduate degree,36.857,48.888999999999996,63.0,826
United Kingdom of Great Britain and Northern Ireland,education,high school,19.553,61.974,38.0,826
United Kingdom of Great Britain and Northern Ireland,education,less than high school,17.5,30.5,2.0,826
United Kingdom of Great Britain and Northern Ireland,education,university,32.44,51.107,150.0,826
Greece,education,graduate degree,39.0,48.333,3.0,300
Greece,education,high school,19.75,59.75,4.0,300
Greece,education,university,33.0,37.0,15.0,300
Hong Kong,education,graduate degree,29.5,76.0,2.0,344
Hong Kong,education,high school,23.0,45.556000000000004,9.0,344
Hong Kong,education,university,24.429000000000002,57.714,7.0,344
Croatia,education,graduate degree,33.2,19.0,5.0,191
Croatia,education,high school,22.6,75.2,5.0,191
Croatia,education,university,33.2,43.0,5.0,191
Indonesia,education,graduate degree,25.276,54.828,29.0,360
Indonesia,education,high school,19.6,58.047,85.0,360
Indonesia,education,less than high school,16.5,46.0,4.0,360
Indonesia,education,university,24.011999999999997,55.523,86.0,360
Ireland,education,graduate degree,40.625,41.125,8.0,372
Ireland,education,high school,24.0,71.6,5.0,372
Ireland,education,university,27.5,57.083,12.0,372
India,education,graduate degree,28.363000000000003,55.235,102.0,356
India,education,high school,20.5,51.917,24.0,356
India,education,less than high school,17.5,90.5,2.0,356
India,education,university,25.143,53.75,56.0,356
Italy,education,graduate degree,31.75,44.25,8.0,380
Italy,education,high school,25.333000000000002,63.8,15.0,380
Italy,education,less than high school,17.5,61.5,2.0,380
Italy,education,university,25.182,61.636,11.0,380
Japan,education,graduate degree,25.429000000000002,38.714,7.0,392
Japan,education,high school,20.941,40.059,17.0,392
Japan,education,university,23.909000000000002,49.0,11.0,392
Mexico,education,graduate degree,27.0,45.0,4.0,484
Mexico,education,high school,19.636,40.727,11.0,484
Mexico,education,less than high school,19.0,80.0,1.0,484
Mexico,education,university,24.6,57.8,20.0,484
Malaysia,education,graduate degree,27.25,54.5,48.0,458
Malaysia,education,high school,20.033,52.471000000000004,121.0,458
Malaysia,education,less than high school,16.75,55.0,4.0,458
Malaysia,education,university,23.29,58.571000000000005,231.0,458
Netherlands,education,graduate degree,34.444,49.778,9.0,528
Netherlands,education,high school,18.667,75.667,6.0,528
Netherlands,education,university,28.0,35.077,13.0,528
New Zealand,education,graduate degree,37.635999999999996,33.591,22.0,554
New Zealand,education,high school,18.765,58.0,17.0,554
New Zealand,education,less than high school,16.0,56.0,2.0,554
New Zealand,education,university,26.0,53.25,32.0,554
Philippines,education,graduate degree,26.0,46.75,4.0,608
Philippines,education,high school,19.875,68.25,8.0,608
Philippines,education,less than high school,16.0,51.5,2.0,608
Philippines,education,university,23.143,70.429,14.0,608
Pakistan,education,graduate degree,28.455,66.36399999999999,11.0,586
Pakistan,education,high school,19.625,54.25,8.0,586
Pakistan,education,university,27.923000000000002,61.692,13.0,586
Poland,education,graduate degree,34.25,56.0,8.0,616
Poland,education,high school,22.8,62.2,20.0,616
Poland,education,less than high school,18.0,76.5,2.0,616
Poland,education,university,31.0,53.231,13.0,616
Portugal,education,graduate degree,28.0,43.5,2.0,620
Portugal,education,high school,21.25,61.625,8.0,620
Portugal,education,university,38.667,39.333,6.0,620
Romania,education,graduate degree,35.444,43.556000000000004,9.0,642
Romania,education,high school,22.545,44.545,11.0,642
Romania,education,university,28.221999999999998,53.556000000000004,18.0,642
Serbia,education,graduate degree,43.0,30.0,3.0,688
Serbia,education,high school,23.25,37.25,8.0,688
Serbia,education,university,29.143,49.428999999999995,7.0,688
Russian Federation,education,graduate degree,26.5,25.0,2.0,643
Russian Federation,education,high school,19.417,53.25,12.0,643
Russian Federation,education,university,24.625,55.875,8.0,643
Saudi Arabia,education,graduate degree,29.111,43.222,9.0,682
Saudi Arabia,education,high school,18.5,80.667,6.0,682
Saudi Arabia,education,university,28.714000000000002,48.428999999999995,7.0,682
Sweden,education,graduate degree,54.667,50.0,3.0,752
Sweden,education,high school,19.5,68.5,2.0,752
Sweden,education,less than high school,16.0,77.0,1.0,752
Sweden,education,university,37.077,53.692,13.0,752
Singapore,education,graduate degree,32.4,42.467,15.0,702
Singapore,education,high school,21.588,65.706,17.0,702
Singapore,education,less than high school,25.0,81.0,2.0,702
Singapore,education,university,27.829,43.17100000000001,35.0,702
Turkey,education,graduate degree,40.0,71.5,4.0,792
Turkey,education,high school,19.875,56.25,8.0,792
Turkey,education,less than high school,17.0,47.0,2.0,792
Turkey,education,university,22.636,53.727,11.0,792
United States of America,education,graduate degree,40.147,42.595,346.0,840
United States of America,education,high school,22.741999999999997,57.846000000000004,565.0,840
United States of America,education,less than high school,21.261999999999997,59.5,42.0,840
United States of America,education,university,32.292,49.894,790.0,840
South Africa,education,graduate degree,42.75,65.0,4.0,710
South Africa,education,high school,19.4,62.8,5.0,710
South Africa,education,university,27.357,59.214,14.0,710
United Arab Emirates,race,arab,23.333000000000002,48.0,3.0,784
United Arab Emirates,race,asian,28.0,57.888999999999996,9.0,784
United Arab Emirates,race,white,36.0,40.0,2.0,784
Argentina,race,other,25.0,45.6,5.0,32
Argentina,race,white,28.2,51.6,5.0,32
Australia,race,arab,26.0,56.5,2.0,36
Australia,race,asian,26.964000000000002,52.857,28.0,36
Australia,race,black,43.0,64.0,1.0,36
Australia,race,indigenous australian,45.0,44.0,1.0,36
Australia,race,other,30.75,31.875,16.0,36
Australia,race,white,35.928000000000004,49.206,97.0,36
Brunei Darussalam,race,asian,22.909000000000002,67.65899999999999,44.0,96
Brunei Darussalam,race,other,23.375,55.5,8.0,96
Brazil,race,asian,17.0,63.0,1.0,76
Brazil,race,black,21.5,44.5,2.0,76
Brazil,race,other,26.333000000000002,55.467,15.0,76
Brazil,race,white,24.578000000000003,60.933,45.0,76
Canada,race,arab,24.333000000000002,81.0,3.0,124
Canada,race,asian,23.24,49.18,50.0,124
Canada,race,black,26.25,80.75,4.0,124
Canada,race,native american,36.375,49.625,8.0,124
Canada,race,other,27.158,54.263000000000005,19.0,124
Canada,race,white,32.457,50.166000000000004,151.0,124
Czech Republic,race,white,26.0,57.455,11.0,203
Germany,race,arab,19.5,76.0,2.0,276
Germany,race,asian,25.166999999999998,62.833,18.0,276
Germany,race,other,23.166999999999998,50.5,6.0,276
Germany,race,white,27.1,48.8,60.0,276
Denmark,race,asian,19.0,48.0,1.0,208
Denmark,race,black,21.0,56.0,1.0,208
Denmark,race,other,21.0,33.0,1.0,208
Denmark,race,white,39.75,16.0,8.0,208
Egypt,race,arab,25.5,69.214,14.0,818
Egypt,race,asian,22.561999999999998,52.625,16.0,818
Egypt,race,other,27.5,59.75,4.0,818
Spain,race,asian,23.25,42.0,4.0,724
Spain,race,other,20.0,9.0,1.0,724
Spain,race,white,26.6,48.0,10.0,724
Finland,race,arab,24.0,23.0,1.0,246
Finland,race,other,40.0,44.0,1.0,246
Finland,race,white,27.4,48.4,15.0,246
France,race,arab,24.0,64.333,3.0,250
France,race,asian,25.0,104.0,1.0,250
France,race,black,21.666999999999998,61.0,3.0,250
France,race,other,23.75,66.375,8.0,250
France,race,white,26.791999999999998,54.958,48.0,250
United Kingdom of Great Britain and Northern Ireland,race,arab,34.0,29.6,5.0,826
United Kingdom of Great Britain and Northern Ireland,race,asian,24.048000000000002,58.81,42.0,826
United Kingdom of Great Britain and Northern Ireland,race,black,31.0,29.0,2.0,826
United Kingdom of Great Britain and Northern Ireland,race,other,28.691999999999997,47.769,13.0,826
United Kingdom of Great Britain and Northern Ireland,race,white,33.251,51.648999999999994,191.0,826
Greece,race,asian,23.0,23.0,1.0,300
Greece,race,white,31.81,43.619,21.0,300
Hong Kong,race,asian,23.706,49.941,17.0,344
Hong Kong,race,white,34.0,117.0,1.0,344
Croatia,race,white,29.666999999999998,45.733000000000004,15.0,191
Indonesia,race,arab,22.0,75.0,1.0,360
Indonesia,race,asian,22.111,55.931000000000004,189.0,360
Indonesia,race,indigenous australian,23.0,29.0,1.0,360
Indonesia,race,native american,22.0,45.0,1.0,360
Indonesia,race,other,24.0,58.181999999999995,11.0,360
Indonesia,race,white,20.0,123.0,1.0,360
Ireland,race,asian,23.0,46.5,2.0,372
Ireland,race,white,31.695999999999998,55.608999999999995,23.0,372
India,race,arab,20.0,76.0,1.0,356
India,race,asian,26.837,54.601000000000006,153.0,356
India,race,black,21.0,50.0,1.0,356
India,race,native american,23.0,4.0,1.0,356
India,race,other,23.63,55.37,27.0,356
India,race,white,20.0,92.0,1.0,356
Italy,race,asian,28.0,15.0,2.0,380
Italy,race,other,19.0,63.5,2.0,380
Italy,race,white,26.625,61.093999999999994,32.0,380
Japan,race,asian,22.531,44.718999999999994,32.0,392
Japan,race,other,25.333000000000002,20.0,3.0,392
Mexico,race,other,22.704,57.148,27.0,484
Mexico,race,white,24.666999999999998,35.667,9.0,484
Malaysia,race,arab,17.0,44.0,1.0,458
Malaysia,race,asian,22.682,57.207,358.0,458
Malaysia,race,black,23.0,99.0,1.0,458
Malaysia,race,other,23.159000000000002,47.545,44.0,458
Netherlands,race,asian,23.0,91.0,1.0,528
Netherlands,race,black,33.667,18.333,3.0,528
Netherlands,race,indigenous australian,19.0,72.0,1.0,528
Netherlands,race,other,27.0,50.0,1.0,528
Netherlands,race,white,28.0,49.545,22.0,528
New Zealand,race,asian,22.791,54.791000000000004,43.0,554
New Zealand,race,other,27.125,50.375,8.0,554
New Zealand,race,white,37.0,35.545,22.0,554
Philippines,race,asian,22.107,65.071,28.0,608
Pakistan,race,asian,26.171999999999997,59.034,29.0,586
Pakistan,race,other,24.666999999999998,84.667,3.0,586
Poland,race,asian,25.0,5.0,1.0,616
Poland,race,white,27.238000000000003,60.286,42.0,616
Portugal,race,other,16.0,81.0,1.0,620
Portugal,race,white,29.467,49.0,15.0,620
Romania,race,asian,31.0,53.0,1.0,642
Romania,race,other,21.0,44.5,2.0,642
Romania,race,white,28.629,48.68600000000001,35.0,642
Serbia,race,white,28.833000000000002,40.778,18.0,688
Russian Federation,race,asian,21.221999999999998,59.222,9.0,643
Russian Federation,race,other,20.0,47.0,2.0,643
Russian Federation,race,white,22.909000000000002,46.273,11.0,643
Saudi Arabia,race,arab,27.333000000000002,48.6,15.0,682
Saudi Arabia,race,asian,24.0,54.6,5.0,682
Saudi Arabia,race,black,22.0,103.0,1.0,682
Saudi Arabia,race,white,22.0,107.0,1.0,682
Sweden,race,asian,16.0,77.0,1.0,752
Sweden,race,other,30.0,32.0,1.0,752
Sweden,race,white,38.529,56.059,17.0,752
Singapore,race,asian,27.0,49.966,59.0,702
Singapore,race,other,25.625,46.875,8.0,702
Singapore,race,white,39.5,52.0,2.0,702
Turkey,race,asian,21.570999999999998,63.286,7.0,792
Turkey,race,other,23.5,46.0,2.0,792
Turkey,race,white,25.25,55.375,16.0,792
United States of America,race,arab,24.455,40.635999999999996,11.0,840
United States of America,race,asian,24.141,51.745,184.0,840
United States of America,race,black,27.568,49.148,88.0,840
United States of America,race,indigenous australian,44.0,57.0,1.0,840
United States of America,race,native american,29.8,68.05,20.0,840
United States of America,race,other,26.133000000000003,53.596000000000004,188.0,840
United States of America,race,white,32.336999999999996,50.799,1251.0,840
South Africa,race,asian,20.0,88.0,1.0,710
South Africa,race,black,25.6,39.4,5.0,710
South Africa,race,other,24.666999999999998,71.0,3.0,710
South Africa,race,white,30.643,64.643,14.0,710
United Arab Emirates,gender,female,28.143,53.214,14.0,784
Argentina,gender,female,28.857,52.428999999999995,7.0,32
Argentina,gender,male,23.5,29.5,2.0,32
Argentina,gender,other,17.0,60.0,1.0,32
Australia,gender,female,32.133,50.867,98.0,36
Australia,gender,male,36.66,42.532,47.0,36
Brunei Darussalam,gender,female,22.976999999999997,68.727,44.0,96
Brunei Darussalam,gender,male,23.0,49.625,8.0,96
Brazil,gender,female,27.28,63.48,25.0,76
Brazil,gender,male,23.131999999999998,56.288999999999994,38.0,76
Canada,gender,female,28.737,53.736999999999995,156.0,124
Canada,gender,male,32.68,44.427,75.0,124
Canada,gender,other,28.5,78.25,4.0,124
Czech Republic,gender,female,23.333000000000002,58.167,6.0,203
Czech Republic,gender,male,29.2,56.6,5.0,203
Germany,gender,female,26.128,55.553000000000004,47.0,276
Germany,gender,male,27.114,46.8,35.0,276
Germany,gender,other,20.0,66.25,4.0,276
Denmark,gender,female,31.666999999999998,28.166999999999998,6.0,208
Denmark,gender,male,37.8,19.2,5.0,208
Egypt,gender,female,22.923000000000002,67.192,26.0,818
Egypt,gender,male,29.0,37.875,8.0,818
Spain,gender,female,24.5,37.333,12.0,724
Spain,gender,male,28.333000000000002,69.667,3.0,724
Finland,gender,female,27.308000000000003,44.461999999999996,13.0,246
Finland,gender,male,30.0,53.75,4.0,246
France,gender,female,24.424,65.515,33.0,250
France,gender,male,28.320999999999998,47.75,28.0,250
France,gender,other,19.5,75.0,2.0,250
United Kingdom of Great Britain and Northern Ireland,gender,female,31.66,51.617,188.0,826
United Kingdom of Great Britain and Northern Ireland,gender,male,31.557,51.556999999999995,61.0,826
United Kingdom of Great Britain and Northern Ireland,gender,other,22.25,78.25,4.0,826
Greece,gender,female,31.545,47.455,11.0,300
Greece,gender,male,32.7,35.1,10.0,300
Greece,gender,other,17.0,66.0,1.0,300
Hong Kong,gender,female,23.166999999999998,42.167,12.0,344
Hong Kong,gender,male,26.5,76.667,6.0,344
Croatia,gender,female,29.273000000000003,43.091,11.0,191
Croatia,gender,male,30.75,53.0,4.0,191
Indonesia,gender,female,21.930999999999997,58.843999999999994,173.0,360
Indonesia,gender,male,23.866999999999997,40.2,30.0,360
Indonesia,gender,other,20.0,97.0,1.0,360
Ireland,gender,female,29.214000000000002,52.214,14.0,372
Ireland,gender,male,33.273,58.273,11.0,372
India,gender,female,24.980999999999998,59.808,104.0,356
India,gender,male,27.975,47.898999999999994,79.0,356
India,gender,other,20.0,67.0,1.0,356
Italy,gender,female,25.143,64.095,21.0,380
Italy,gender,male,27.866999999999997,51.067,15.0,380
Japan,gender,female,23.226999999999997,41.136,22.0,392
Japan,gender,male,22.0,45.077,13.0,392
Mexico,gender,female,25.235,54.235,17.0,484
Mexico,gender,male,20.588,48.882,17.0,484
Mexico,gender,other,28.0,55.5,2.0,484
Malaysia,gender,female,22.605,57.948,329.0,458
Malaysia,gender,male,23.226999999999997,48.667,75.0,458
Netherlands,gender,female,30.083000000000002,58.25,12.0,528
Netherlands,gender,male,26.561999999999998,41.188,16.0,528
New Zealand,gender,female,27.333000000000002,47.586999999999996,63.0,554
New Zealand,gender,male,30.221999999999998,47.443999999999996,9.0,554
New Zealand,gender,other,17.0,116.0,1.0,554
Philippines,gender,female,21.583000000000002,62.708,24.0,608
Philippines,gender,male,25.25,79.25,4.0,608
Pakistan,gender,female,25.08,65.36,25.0,586
Pakistan,gender,male,29.429000000000002,47.428999999999995,7.0,586
Poland,gender,female,25.545,61.636,22.0,616
Poland,gender,male,29.947,53.895,19.0,616
Poland,gender,other,19.0,78.5,2.0,616
Portugal,gender,female,31.090999999999998,49.181999999999995,11.0,620
Portugal,gender,male,23.2,55.0,5.0,620
Romania,gender,female,27.391,54.608999999999995,23.0,642
Romania,gender,male,30.385,31.462,13.0,642
Romania,gender,other,25.0,90.5,2.0,642
Serbia,gender,female,27.846,46.615,13.0,688
Serbia,gender,male,31.4,25.6,5.0,688
Russian Federation,gender,female,22.538,48.538000000000004,13.0,643
Russian Federation,gender,male,21.111,56.111000000000004,9.0,643
Saudi Arabia,gender,female,24.438000000000002,53.812,16.0,682
Saudi Arabia,gender,male,30.5,58.5,6.0,682
Sweden,gender,female,36.5,47.25,8.0,752
Sweden,gender,male,37.181999999999995,62.181999999999995,11.0,752
Singapore,gender,female,27.195999999999998,49.765,51.0,702
Singapore,gender,male,27.221999999999998,49.388999999999996,18.0,702
Turkey,gender,female,20.570999999999998,60.214,14.0,792
Turkey,gender,male,28.6,45.5,10.0,792
Turkey,gender,other,28.0,123.0,1.0,792
United States of America,gender,female,30.096999999999998,51.858000000000004,1205.0,840
United States of America,gender,male,31.585,49.06100000000001,494.0,840
United States of America,gender,other,28.955,59.341,44.0,840
South Africa,gender,female,26.5,54.0,16.0,710
South Africa,gender,male,28.166999999999998,68.833,6.0,710
South Africa,gender,other,58.0,126.0,1.0,710
United Arab Emirates,religion,catholic,28.25,37.75,4.0,784
United Arab Emirates,religion,hindu,20.666999999999998,91.667,3.0,784
United Arab Emirates,religion,muslim,24.75,35.25,4.0,784
United Arab Emirates,religion,other,34.0,13.0,1.0,784
United Arab Emirates,religion,other christian,43.0,82.5,2.0,784
Argentina,religion,agnostic,26.2,42.2,5.0,32
Argentina,religion,catholic,25.666999999999998,58.333,3.0,32
Argentina,religion,other,39.0,42.0,1.0,32
Argentina,religion,other christian,19.0,58.0,1.0,32
Australia,religion,agnostic,30.75,48.536,28.0,36
Australia,religion,atheist,33.0,48.773,44.0,36
Australia,religion,buddhist,35.125,26.875,8.0,36
Australia,religion,catholic,35.643,40.214,14.0,36
Australia,religion,hindu,32.0,50.0,3.0,36
Australia,religion,muslim,27.111,59.111000000000004,18.0,36
Australia,religion,other,37.0,54.875,8.0,36
Australia,religion,other christian,35.125,55.125,8.0,36
Australia,religion,protestant,44.143,43.357,14.0,36
Brunei Darussalam,religion,atheist,38.0,8.0,1.0,96
Brunei Darussalam,religion,catholic,16.0,104.0,1.0,96
Brunei Darussalam,religion,muslim,22.816,66.939,49.0,96
Brunei Darussalam,religion,protestant,23.0,29.0,1.0,96
Brazil,religion,agnostic,26.364,60.545,22.0,76
Brazil,religion,atheist,20.75,58.688,16.0,76
Brazil,religion,catholic,30.111,46.888999999999996,9.0,76
Brazil,religion,other,23.570999999999998,73.286,7.0,76
Brazil,religion,other christian,26.666999999999998,60.667,3.0,76
Brazil,religion,protestant,22.166999999999998,56.333,6.0,76
Canada,religion,agnostic,28.480999999999998,48.481,52.0,124
Canada,religion,atheist,28.557,53.934,61.0,124
Canada,religion,buddhist,35.5,70.5,4.0,124
Canada,religion,catholic,32.433,51.9,30.0,124
Canada,religion,hindu,24.375,59.938,16.0,124
Canada,religion,jewish,38.0,9.5,2.0,124
Canada,religion,muslim,26.666999999999998,38.667,9.0,124
Canada,religion,other,32.654,58.5,26.0,124
Canada,religion,other christian,29.0,48.571000000000005,14.0,124
Canada,religion,protestant,36.684,38.421,19.0,124
Canada,religion,sikh,26.0,60.5,2.0,124
Czech Republic,religion,agnostic,23.0,55.5,4.0,203
Czech Republic,religion,atheist,23.333000000000002,70.667,3.0,203
Czech Republic,religion,other,35.0,43.333,3.0,203
Czech Republic,religion,protestant,19.0,68.0,1.0,203
Germany,religion,agnostic,26.941,56.765,17.0,276
Germany,religion,atheist,26.55,50.65,20.0,276
Germany,religion,buddhist,29.0,34.25,4.0,276
Germany,religion,catholic,27.214000000000002,57.5,14.0,276
Germany,religion,hindu,31.0,61.0,1.0,276
Germany,religion,jewish,38.0,87.0,1.0,276
Germany,religion,muslim,23.875,53.562,16.0,276
Germany,religion,other,22.714000000000002,49.428999999999995,7.0,276
Germany,religion,other christian,26.666999999999998,43.667,3.0,276
Germany,religion,protestant,27.0,37.333,3.0,276
Denmark,religion,agnostic,39.5,23.5,4.0,208
Denmark,religion,atheist,29.0,17.0,3.0,208
Denmark,religion,buddhist,42.0,14.0,1.0,208
Denmark,religion,muslim,19.0,48.0,1.0,208
Denmark,religion,other,52.0,2.0,1.0,208
Denmark,religion,other christian,21.0,56.0,1.0,208
Egypt,religion,atheist,27.0,69.5,2.0,818
Egypt,religion,muslim,23.6,58.867,30.0,818
Egypt,religion,other,22.0,83.0,1.0,818
Egypt,religion,other christian,44.0,62.0,1.0,818
Spain,religion,agnostic,19.333,68.333,3.0,724
Spain,religion,atheist,24.8,35.6,5.0,724
Spain,religion,catholic,32.0,70.5,2.0,724
Spain,religion,muslim,22.75,28.25,4.0,724
Spain,religion,protestant,42.0,20.0,1.0,724
Finland,religion,agnostic,31.0,66.0,1.0,246
Finland,religion,atheist,30.625,44.5,8.0,246
Finland,religion,muslim,24.0,23.0,1.0,246
Finland,religion,other,25.333000000000002,51.667,3.0,246
Finland,religion,other christian,26.5,40.5,2.0,246
Finland,religion,protestant,23.0,56.0,2.0,246
France,religion,agnostic,23.435,64.043,23.0,250
France,religion,atheist,28.0,55.0,23.0,250
France,religion,catholic,30.625,38.75,8.0,250
France,religion,muslim,22.25,72.25,4.0,250
France,religion,other,26.0,69.5,2.0,250
France,religion,other christian,30.0,92.0,1.0,250
France,religion,protestant,19.5,40.5,2.0,250
United Kingdom of Great Britain and Northern Ireland,religion,agnostic,31.391,47.783,46.0,826
United Kingdom of Great Britain and Northern Ireland,religion,atheist,31.865,51.966,89.0,826
United Kingdom of Great Britain and Northern Ireland,religion,buddhist,51.0,28.333000000000002,3.0,826
United Kingdom of Great Britain and Northern Ireland,religion,catholic,30.381,52.762,21.0,826
United Kingdom of Great Britain and Northern Ireland,religion,hindu,22.0,102.0,1.0,826
United Kingdom of Great Britain and Northern Ireland,religion,jewish,29.0,58.0,2.0,826
United Kingdom of Great Britain and Northern Ireland,religion,muslim,25.879,52.242,33.0,826
United Kingdom of Great Britain and Northern Ireland,religion,other,37.1,56.5,20.0,826
United Kingdom of Great Britain and Northern Ireland,religion,other christian,28.076999999999998,52.231,13.0,826
United Kingdom of Great Britain and Northern Ireland,religion,protestant,35.048,56.714,21.0,826
United Kingdom of Great Britain and Northern Ireland,religion,sikh,29.5,51.0,4.0,826
Greece,religion,agnostic,21.0,57.667,3.0,300
Greece,religion,atheist,33.333,45.5,6.0,300
Greece,religion,catholic,50.0,24.0,1.0,300
Greece,religion,other,25.0,54.5,2.0,300
Greece,religion,other christian,32.8,36.0,10.0,300
Hong Kong,religion,agnostic,25.666999999999998,79.333,3.0,344
Hong Kong,religion,atheist,21.4,54.8,5.0,344
Hong Kong,religion,buddhist,25.0,40.0,2.0,344
Hong Kong,religion,catholic,30.0,42.0,3.0,344
Hong Kong,religion,muslim,34.0,46.0,1.0,344
Hong Kong,religion,other,19.0,90.0,1.0,344
Hong Kong,religion,protestant,20.0,37.333,3.0,344
Croatia,religion,agnostic,29.5,31.0,2.0,191
Croatia,religion,atheist,28.4,60.0,5.0,191
Croatia,religion,catholic,30.5,40.5,8.0,191
Indonesia,religion,agnostic,20.375,78.75,8.0,360
Indonesia,religion,atheist,23.0,59.0,5.0,360
Indonesia,religion,buddhist,22.0,75.667,3.0,360
Indonesia,religion,catholic,26.111,50.0,9.0,360
Indonesia,religion,hindu,19.333,50.833,6.0,360
Indonesia,religion,muslim,22.136,55.928999999999995,154.0,360
Indonesia,religion,other,21.0,83.0,1.0,360
Indonesia,religion,protestant,22.5,48.888999999999996,18.0,360
Ireland,religion,agnostic,25.25,46.25,4.0,372
Ireland,religion,atheist,30.273000000000003,66.90899999999999,11.0,372
Ireland,religion,buddhist,54.0,42.0,1.0,372
Ireland,religion,catholic,33.5,45.5,6.0,372
Ireland,religion,hindu,25.0,19.0,1.0,372
Ireland,religion,other,19.0,90.0,1.0,372
Ireland,religion,other christian,42.0,27.0,1.0,372
India,religion,agnostic,23.4,57.4,5.0,356
India,religion,atheist,22.75,55.625,16.0,356
India,religion,buddhist,25.5,46.0,2.0,356
India,religion,catholic,27.5,50.833,6.0,356
India,religion,hindu,26.61,54.488,123.0,356
India,religion,muslim,25.316,49.684,19.0,356
India,religion,other,20.0,57.0,1.0,356
India,religion,other christian,23.0,54.5,2.0,356
India,religion,protestant,37.5,36.5,4.0,356
India,religion,sikh,26.833000000000002,89.833,6.0,356
Italy,religion,agnostic,33.0,69.625,8.0,380
Italy,religion,atheist,23.133000000000003,60.667,15.0,380
Italy,religion,catholic,26.0,50.75,8.0,380
Italy,religion,hindu,27.0,8.0,1.0,380
Italy,religion,muslim,26.0,43.5,2.0,380
Italy,religion,other,24.0,72.0,2.0,380
Japan,religion,agnostic,26.0,62.667,3.0,392
Japan,religion,atheist,23.333000000000002,53.333,3.0,392
Japan,religion,catholic,28.0,34.0,1.0,392
Japan,religion,muslim,22.296,38.296,27.0,392
Japan,religion,protestant,19.0,75.0,1.0,392
Mexico,religion,agnostic,26.875,61.0,8.0,484
Mexico,religion,atheist,23.25,60.5,8.0,484
Mexico,religion,catholic,21.615,36.231,13.0,484
Mexico,religion,other,21.857,60.143,7.0,484
Malaysia,religion,buddhist,19.0,38.0,1.0,458
Malaysia,religion,catholic,27.0,63.364,11.0,458
Malaysia,religion,hindu,24.5,50.0,4.0,458
Malaysia,religion,muslim,22.585,56.199,381.0,458
Malaysia,religion,other,27.0,67.5,2.0,458
Malaysia,religion,other christian,22.666999999999998,59.667,3.0,458
Malaysia,religion,protestant,19.0,27.0,2.0,458
Netherlands,religion,agnostic,24.8,45.6,5.0,528
Netherlands,religion,atheist,30.583000000000002,53.5,12.0,528
Netherlands,religion,catholic,20.0,71.5,2.0,528
Netherlands,religion,hindu,27.0,50.0,1.0,528
Netherlands,religion,muslim,23.0,91.0,1.0,528
Netherlands,religion,other,25.5,45.5,2.0,528
Netherlands,religion,other christian,30.0,22.0,1.0,528
Netherlands,religion,protestant,31.0,22.75,4.0,528
New Zealand,religion,agnostic,28.625,34.625,8.0,554
New Zealand,religion,atheist,38.077,38.692,13.0,554
New Zealand,religion,catholic,29.333000000000002,57.0,3.0,554
New Zealand,religion,muslim,23.093000000000004,55.791000000000004,43.0,554
New Zealand,religion,other,35.0,44.25,4.0,554
New Zealand,religion,other christian,19.0,8.0,1.0,554
New Zealand,religion,protestant,47.0,6.0,1.0,554
